date,close,close_pred,code,score,date_processed
09.08.2022,16900.0,17213.33,ALK,0.974887408167993,2025-01-19
10.08.2022,16900.0,17163.283,ALK,0.974887408167993,2025-01-19
11.08.2022,16900.0,17100.521,ALK,0.974887408167993,2025-01-19
12.08.2022,17000.0,17095.588,ALK,0.974887408167993,2025-01-19
15.08.2022,17100.0,17028.94,ALK,0.974887408167993,2025-01-19
16.08.2022,17000.0,17037.322,ALK,0.974887408167993,2025-01-19
17.08.2022,17099.0,17030.58,ALK,0.974887408167993,2025-01-19
18.08.2022,17050.0,17046.49,ALK,0.974887408167993,2025-01-19
19.08.2022,17000.0,17104.379,ALK,0.974887408167993,2025-01-19
22.08.2022,17000.0,17156.877,ALK,0.974887408167993,2025-01-19
23.08.2022,16901.0,17146.268,ALK,0.974887408167993,2025-01-19
24.08.2022,17001.0,17185.5,ALK,0.974887408167993,2025-01-19
25.08.2022,17000.0,17163.691,ALK,0.974887408167993,2025-01-19
29.08.2022,16950.0,17141.496,ALK,0.974887408167993,2025-01-19
30.08.2022,16900.0,17120.55,ALK,0.974887408167993,2025-01-19
31.08.2022,16900.0,17079.81,ALK,0.974887408167993,2025-01-19
02.09.2022,16849.0,17110.414,ALK,0.974887408167993,2025-01-19
05.09.2022,16840.0,17106.01,ALK,0.974887408167993,2025-01-19
06.09.2022,16799.0,17083.22,ALK,0.974887408167993,2025-01-19
07.09.2022,16800.0,17050.605,ALK,0.974887408167993,2025-01-19
09.09.2022,16700.0,17030.68,ALK,0.974887408167993,2025-01-19
12.09.2022,16750.0,16996.994,ALK,0.974887408167993,2025-01-19
13.09.2022,17000.0,16976.959,ALK,0.974887408167993,2025-01-19
14.09.2022,16800.0,16946.58,ALK,0.974887408167993,2025-01-19
15.09.2022,16800.0,16926.164,ALK,0.974887408167993,2025-01-19
16.09.2022,16760.0,16882.389,ALK,0.974887408167993,2025-01-19
19.09.2022,16752.0,16915.984,ALK,0.974887408167993,2025-01-19
20.09.2022,16707.0,17006.115,ALK,0.974887408167993,2025-01-19
21.09.2022,16700.0,16949.182,ALK,0.974887408167993,2025-01-19
22.09.2022,16700.0,16940.146,ALK,0.974887408167993,2025-01-19
26.09.2022,16099.0,16902.41,ALK,0.974887408167993,2025-01-19
27.09.2022,15598.0,16884.771,ALK,0.974887408167993,2025-01-19
28.09.2022,16000.0,16853.463,ALK,0.974887408167993,2025-01-19
29.09.2022,16000.0,16826.367,ALK,0.974887408167993,2025-01-19
30.09.2022,16100.0,16733.248,ALK,0.974887408167993,2025-01-19
03.10.2022,16000.0,16387.21,ALK,0.974887408167993,2025-01-19
04.10.2022,16100.0,16105.769,ALK,0.974887408167993,2025-01-19
05.10.2022,16100.0,16152.643,ALK,0.974887408167993,2025-01-19
06.10.2022,16000.0,16150.31,ALK,0.974887408167993,2025-01-19
07.10.2022,16100.0,16205.975,ALK,0.974887408167993,2025-01-19
10.10.2022,16100.0,16180.022,ALK,0.974887408167993,2025-01-19
12.10.2022,16000.0,16217.551,ALK,0.974887408167993,2025-01-19
13.10.2022,15900.0,16211.307,ALK,0.974887408167993,2025-01-19
14.10.2022,15950.0,16184.572,ALK,0.974887408167993,2025-01-19
17.10.2022,15556.0,16215.393,ALK,0.974887408167993,2025-01-19
18.10.2022,15750.0,16205.512,ALK,0.974887408167993,2025-01-19
19.10.2022,15750.0,16154.342,ALK,0.974887408167993,2025-01-19
20.10.2022,15750.0,16091.459,ALK,0.974887408167993,2025-01-19
21.10.2022,15851.0,16044.161,ALK,0.974887408167993,2025-01-19
25.10.2022,15950.0,15876.615,ALK,0.974887408167993,2025-01-19
26.10.2022,16500.0,15909.552,ALK,0.974887408167993,2025-01-19
27.10.2022,16599.0,15896.045,ALK,0.974887408167993,2025-01-19
28.10.2022,16682.0,15921.708,ALK,0.974887408167993,2025-01-19
31.10.2022,16530.0,15990.9375,ALK,0.974887408167993,2025-01-19
01.11.2022,16500.0,16122.465,ALK,0.974887408167993,2025-01-19
02.11.2022,16501.0,16422.926,ALK,0.974887408167993,2025-01-19
03.11.2022,16499.0,16575.648,ALK,0.974887408167993,2025-01-19
04.11.2022,16401.0,16678.027,ALK,0.974887408167993,2025-01-19
07.11.2022,16600.0,16644.385,ALK,0.974887408167993,2025-01-19
08.11.2022,16800.0,16631.342,ALK,0.974887408167993,2025-01-19
09.11.2022,16700.0,16620.953,ALK,0.974887408167993,2025-01-19
10.11.2022,16500.0,16613.176,ALK,0.974887408167993,2025-01-19
11.11.2022,16500.0,16596.793,ALK,0.974887408167993,2025-01-19
14.11.2022,16500.0,16700.7,ALK,0.974887408167993,2025-01-19
15.11.2022,16500.0,16800.56,ALK,0.974887408167993,2025-01-19
16.11.2022,16500.0,16778.617,ALK,0.974887408167993,2025-01-19
17.11.2022,16500.0,16694.002,ALK,0.974887408167993,2025-01-19
18.11.2022,16501.0,16660.283,ALK,0.974887408167993,2025-01-19
21.11.2022,16502.0,16640.334,ALK,0.974887408167993,2025-01-19
22.11.2022,16600.0,16636.395,ALK,0.974887408167993,2025-01-19
23.11.2022,16900.0,16633.818,ALK,0.974887408167993,2025-01-19
24.11.2022,17000.0,16632.582,ALK,0.974887408167993,2025-01-19
25.11.2022,17000.0,16634.963,ALK,0.974887408167993,2025-01-19
28.11.2022,16900.0,16653.775,ALK,0.974887408167993,2025-01-19
29.11.2022,17000.0,16740.533,ALK,0.974887408167993,2025-01-19
30.11.2022,17000.0,16912.51,ALK,0.974887408167993,2025-01-19
01.12.2022,17103.0,17016.924,ALK,0.974887408167993,2025-01-19
02.12.2022,17150.0,17059.344,ALK,0.974887408167993,2025-01-19
05.12.2022,17150.0,17046.096,ALK,0.974887408167993,2025-01-19
06.12.2022,17300.0,17091.35,ALK,0.974887408167993,2025-01-19
07.12.2022,17300.0,17116.295,ALK,0.974887408167993,2025-01-19
09.12.2022,17350.0,17185.809,ALK,0.974887408167993,2025-01-19
12.12.2022,17200.0,17231.99,ALK,0.974887408167993,2025-01-19
13.12.2022,17300.0,17273.115,ALK,0.974887408167993,2025-01-19
14.12.2022,17100.0,17357.207,ALK,0.974887408167993,2025-01-19
15.12.2022,17010.0,17388.887,ALK,0.974887408167993,2025-01-19
16.12.2022,17101.0,17416.264,ALK,0.974887408167993,2025-01-19
19.12.2022,17099.0,17365.666,ALK,0.974887408167993,2025-01-19
20.12.2022,17001.0,17373.955,ALK,0.974887408167993,2025-01-19
21.12.2022,17100.0,17269.508,ALK,0.974887408167993,2025-01-19
22.12.2022,17100.0,17215.596,ALK,0.974887408167993,2025-01-19
23.12.2022,17198.0,17222.514,ALK,0.974887408167993,2025-01-19
26.12.2022,17100.0,17210.428,ALK,0.974887408167993,2025-01-19
27.12.2022,17100.0,17180.043,ALK,0.974887408167993,2025-01-19
28.12.2022,17101.0,17213.229,ALK,0.974887408167993,2025-01-19
29.12.2022,17200.0,17226.99,ALK,0.974887408167993,2025-01-19
03.01.2023,17450.0,17270.299,ALK,0.974887408167993,2025-01-19
04.01.2023,17502.0,17238.97,ALK,0.974887408167993,2025-01-19
05.01.2023,17700.0,17238.29,ALK,0.974887408167993,2025-01-19
09.01.2023,17701.0,17248.666,ALK,0.974887408167993,2025-01-19
11.01.2023,17700.0,17329.703,ALK,0.974887408167993,2025-01-19
12.01.2023,17900.0,17477.8,ALK,0.974887408167993,2025-01-19
13.01.2023,17949.0,17579.287,ALK,0.974887408167993,2025-01-19
16.01.2023,17950.0,17717.459,ALK,0.974887408167993,2025-01-19
17.01.2023,17501.0,17769.027,ALK,0.974887408167993,2025-01-19
18.01.2023,17800.0,17826.18,ALK,0.974887408167993,2025-01-19
20.01.2023,17850.0,17941.19,ALK,0.974887408167993,2025-01-19
23.01.2023,17850.0,17996.248,ALK,0.974887408167993,2025-01-19
24.01.2023,17800.0,17982.002,ALK,0.974887408167993,2025-01-19
25.01.2023,17600.0,17814.646,ALK,0.974887408167993,2025-01-19
26.01.2023,17799.0,17904.81,ALK,0.974887408167993,2025-01-19
27.01.2023,17700.0,17927.932,ALK,0.974887408167993,2025-01-19
30.01.2023,17710.0,17950.941,ALK,0.974887408167993,2025-01-19
31.01.2023,17702.0,17912.674,ALK,0.974887408167993,2025-01-19
01.02.2023,17704.0,17832.363,ALK,0.974887408167993,2025-01-19
02.02.2023,17800.0,17882.453,ALK,0.974887408167993,2025-01-19
03.02.2023,17750.0,17842.717,ALK,0.974887408167993,2025-01-19
06.02.2023,17800.0,17848.434,ALK,0.974887408167993,2025-01-19
07.02.2023,17800.0,17838.498,ALK,0.974887408167993,2025-01-19
08.02.2023,17701.0,17849.05,ALK,0.974887408167993,2025-01-19
09.02.2023,17700.0,17889.623,ALK,0.974887408167993,2025-01-19
10.02.2023,17600.0,17885.76,ALK,0.974887408167993,2025-01-19
13.02.2023,17500.0,17911.207,ALK,0.974887408167993,2025-01-19
14.02.2023,17600.0,17902.857,ALK,0.974887408167993,2025-01-19
15.02.2023,17600.0,17857.549,ALK,0.974887408167993,2025-01-19
17.02.2023,17701.0,17828.334,ALK,0.974887408167993,2025-01-19
20.02.2023,17750.0,17757.682,ALK,0.974887408167993,2025-01-19
21.02.2023,17750.0,17703.291,ALK,0.974887408167993,2025-01-19
22.02.2023,17600.0,17725.67,ALK,0.974887408167993,2025-01-19
23.02.2023,17800.0,17739.697,ALK,0.974887408167993,2025-01-19
24.02.2023,17800.0,17801.4,ALK,0.974887408167993,2025-01-19
27.02.2023,17820.0,17838.256,ALK,0.974887408167993,2025-01-19
28.02.2023,17850.0,17842.416,ALK,0.974887408167993,2025-01-19
01.03.2023,17830.0,17802.5,ALK,0.974887408167993,2025-01-19
02.03.2023,18000.0,17881.105,ALK,0.974887408167993,2025-01-19
03.03.2023,17997.0,17900.676,ALK,0.974887408167993,2025-01-19
06.03.2023,18015.0,17934.936,ALK,0.974887408167993,2025-01-19
07.03.2023,18016.0,17957.959,ALK,0.974887408167993,2025-01-19
08.03.2023,18000.0,17979.621,ALK,0.974887408167993,2025-01-19
09.03.2023,17998.0,18066.562,ALK,0.974887408167993,2025-01-19
